q,d=200,d=167,d=125,d=100,d=83,d=67,d=50
1.82692864589913,184.206807439524,153.505672866270,115.129254649702,92.1034037197618,76.7528364331349,61.4022691465079,46.0517018598809
2.13496009704289,156.480920217126,130.400766847605,97.8005751357037,78.2404601085629,65.2003834238024,52.1603067390420,39.1202300542815
2.35664587280388,140.262315892799,116.885263243999,87.6639474329995,70.1311579463996,58.4426316219997,46.7541052975998,35.0655789731998
2.52594742689634,128.755032994728,107.295860828940,80.4718956217050,64.3775164973640,53.6479304144700,42.9183443315760,32.1887582486820
2.67279890175937,119.829290942160,99.8577424517997,74.8933068388498,59.9146454710798,49.9288712258999,39.9430969807199,29.9573227355399
2.79206694970532,112.536428670401,93.7803572253345,70.3352679190009,56.2682143352007,46.8901786126673,37.5121428901338,28.1341071676004
2.88009416649258,106.370401477311,88.6420012310926,66.4815009233194,53.1852007386556,44.3210006155463,35.4568004924370,26.5926003693278
2.98013311389717,101.029145772330,84.1909548102752,63.1432161077064,50.5145728861651,42.0954774051376,33.6763819241101,25.2572864430826
3.06661442273444,96.3178243460749,80.2648536217291,60.1986402162968,48.1589121730374,40.1324268108645,32.1059414486916,24.0794560865187
3.14724351437441,92.1034037197618,76.7528364331349,57.5646273248511,46.0517018598809,38.3764182165674,30.7011345732539,23.0258509299405
3.22612828343332,88.2909965275888,73.5758304396574,55.1818728297430,44.1454982637944,36.7879152198287,29.4303321758630,22.0727491318972
3.29644112271940,84.8105414480037,70.6754512066697,53.0065884050023,42.4052707240018,35.3377256033348,28.2701804826679,21.2026353620009
3.36418499983349,81.6088331410622,68.0073609508852,51.0055207131639,,,,
3.43028838835287,78.6445142549133,65.5370952124278,49.1528214093208,,,,
3.49377642970031,75.8847993954353,63.2373328295294,47.4279996221470,,,,
3.54936989727734,73.3032585499324,61.0860487916103,45.8145365937078,,,,
3.60655851258512,70.8782736772750,59.0652280643958,44.2989210482969,,,,
3.66241008346001,68.5919371236771,57.1599476030642,42.8699607022982,,,,
3.71492644326699,66.4292482728660,,,,,,
3.76845321187158,64.3775164973640,,,,,,
3.82075721671950,62.4259099305867,,,,,,
3.86773431954210,60.5651093051910,,,,,,
3.92111793242708,58.7870388023577,,,,,,
3.96162945884347,57.0846542256058,,,,,,
