q,d=200,d=167,d=125,d=100,d=83,d=67,d=50
1.82692864589913,15232.6171428571,12772.9955639098,9731.10994382023,7457.33171641792,6390.40976000000,5874.25794117647,3776.88068181818
2.13496009704289,25797.3516129032,23271.3555136986,17795.9652054795,12935.6938511327,9397.66658823530,9446.45851351352,6079.89085365854
2.35664587280388,28561.4750000000,25482.9731203007,19909.5457854406,14957.0258426966,13832.8607017544,8962.00378205128,8902.68571428571
2.52594742689634,43227.9081081081,24380.1778417266,20869.1131726908,19122.4898550725,11663.2236363636,13980.7679000000,11534.3430232558
2.67279890175937,31988.6400000000,29838.2716371682,26072.0253608247,22301.9136363636,17061.8372093023,17690.2751315790,10468.6989130435
2.79206694970532,49982.3500000000,37809.0183625731,32092.6939375000,23511.0987421384,18239.0270000000,18404.2494117647,14850.4765625000
2.88009416649258,49838.8235588972,43493.2683870968,33048.6684818482,28387.7212121212,20107.6664705882,22232.7987719298,14098.1928571429
2.98013311389717,55272.8588235294,47072.0759782609,37231.0675094340,28230.9870229008,25627.0566666667,19018.2824193548,15929.0196428571
3.06661442273444,59282.4530864198,53425.3073140496,36825.1032584270,28958.1295454546,27165.4016000000,22570.0128571429,18119.3703703704
3.14724351437441,61716.0698717949,50774.0732307692,38571.9802316602,28332.2240875912,32172.4025000000,26147.6803921569,17674.1038461538
3.22612828343332,58552.7809230769,51839.3762248996,41153.4887124464,31081.7706422018,37762.0729411765,30181.2990243902,20486.6636363636
3.29644112271940,73786.3803921568,57774.5815929204,49411.7335567010,30567.1948717949,19660.0182352941,31580.0610810811,20878.4521739130
3.36418499983349,66825.3695035461,59589.5882870370,43115.5302183406,,,,
3.43028838835287,83284.1758620690,59731.7341176471,54516.7411666667,,,,
3.49377642970031,77643.1885245902,69787.8987777778,40583.8021397380,,,,
3.54936989727734,68242.3102189781,66426.7713407821,50720.6045856353,,,,
3.60655851258512,82480.2805309734,57332.5706467662,53229.3606818182,,,,
3.66241008346001,76788.9268085107,72593.8658024691,56975.4416233766,,,,
3.71492644326699,90927.6291262136,,,,,,
3.76845321187158,82488.5971563981,,,,,,
3.82075721671950,80515.9155555556,,,,,,
3.86773431954210,90263.0422680413,,,,,,
3.92111793242708,93229.6326086957,,,,,,
3.96162945884347,88712.6130000000,,,,,,
